Time,Open,High,Low,Close,Volume
1585599720000,6461.76000000,6467.48000000,6457.40000000,6462.54000000,48.37094500
1585599780000,6462.08000000,6463.50000000,6446.76000000,6448.15000000,89.80664000
1585599840000,6447.98000000,6458.94000000,6447.16000000,6451.70000000,139.79404700
1585599900000,6451.23000000,6460.00000000,6425.00000000,6436.37000000,227.33444900
1585599960000,6436.81000000,6453.47000000,6430.52000000,6445.69000000,130.13181400
1585600020000,6447.41000000,6448.27000000,6434.18000000,6437.64000000,79.75462700
1585600080000,6437.63000000,6445.66000000,6434.36000000,6442.09000000,106.75820400
1585600140000,6442.44000000,6444.35000000,6438.17000000,6438.82000000,39.14810400
1585600200000,6440.16000000,6451.76000000,6438.09000000,6443.48000000,62.05929000
1585600260000,6443.32000000,6457.62000000,6441.64000000,6445.41000000,57.15918900
1585600320000,6446.75000000,6446.75000000,6437.00000000,6438.94000000,66.81428800
1585600380000,6439.60000000,6447.76000000,6439.60000000,6444.96000000,38.05869700
1585600440000,6444.84000000,6447.25000000,6439.24000000,6442.71000000,46.71357500
1585600500000,6443.69000000,6449.63000000,6439.00000000,6439.09000000,32.94288400
1585600560000,6439.00000000,6439.09000000,6432.00000000,6435.44000000,129.45459900
1585600620000,6435.48000000,6436.68000000,6433.28000000,6433.74000000,26.26902500
1585600680000,6433.75000000,6435.00000000,6430.21000000,6430.55000000,83.66678100
1585600740000,6431.20000000,6434.10000000,6428.44000000,6432.03000000,40.30527800
1585600800000,6432.21000000,6445.00000000,6432.21000000,6438.34000000,56.34451700
1585600860000,6437.38000000,6447.67000000,6435.88000000,6446.49000000,42.37551700
1585600920000,6446.49000000,6457.51000000,6438.24000000,6449.85000000,135.46279800
1585600980000,6449.75000000,6457.31000000,6447.57000000,6451.77000000,36.15628100
1585601040000,6451.78000000,6463.12000000,6447.11000000,6448.35000000,96.04385600
1585601100000,6448.17000000,6455.20000000,6445.01000000,6447.66000000,52.93340100
1585601160000,6447.67000000,6460.81000000,6445.88000000,6456.17000000,121.45535700
1585601220000,6454.63000000,6459.88000000,6452.71000000,6455.29000000,43.59909800
1585601280000,6453.58000000,6457.78000000,6450.94000000,6454.00000000,46.81214100
1585601340000,6454.00000000,6474.93000000,6454.00000000,6471.58000000,86.94536900
1585601400000,6470.28000000,6472.12000000,6460.87000000,6466.16000000,99.80880500
1585601460000,6466.19000000,6466.85000000,6460.60000000,6461.03000000,40.50470000
1585601520000,6461.07000000,6462.00000000,6456.25000000,6456.58000000,30.15872400
1585601580000,6456.96000000,6460.45000000,6455.01000000,6457.41000000,25.87558500
1585601640000,6457.41000000,6457.85000000,6451.09000000,6453.15000000,60.71485200
1585601700000,6453.09000000,6454.39000000,6444.00000000,6445.99000000,71.40782300
1585601760000,6446.00000000,6451.53000000,6444.23000000,6451.53000000,37.84309700
1585601820000,6451.02000000,6454.97000000,6450.32000000,6454.41000000,22.25456900
1585601880000,6454.41000000,6456.41000000,6452.65000000,6455.23000000,42.02757400
1585601940000,6455.22000000,6464.91000000,6455.16000000,6463.30000000,39.67619800
1585602000000,6463.30000000,6480.00000000,6462.37000000,6465.65000000,156.69367100
1585602060000,6467.90000000,6473.94000000,6464.27000000,6472.52000000,43.85584500
1585602120000,6472.58000000,6480.00000000,6470.49000000,6479.06000000,36.61835100
1585602180000,6479.89000000,6479.99000000,6471.89000000,6472.40000000,73.97588600
